edition,fy,group,product,drug_name,yakko_class,unit,sheet,total_qty
2,2015,IFN_conv,interferon_conventional,フエロン注射用３００万　３００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 外来 (院内),37941.6
2,2015,IFN_peg,peginterferon,ペガシス皮下注１８０μｇ　１ｍＬ,その他の生物学的製剤,,注射薬 外来 (院内),37022.701
2,2015,IFN_conv,interferon_conventional,スミフェロン注ＤＳ６００万ＩＵ　６００万国際単位,その他の生物学的製剤,,注射薬 外来 (院内),18384.5
2,2015,IFN_peg,peginterferon,ペグイントロン皮下注用５０μｇ／０．５ｍＬ用　（溶解液付）,その他の生物学的製剤,,注射薬 外来 (院内),6999.200000000001
2,2015,IFN_conv,interferon_conventional,イントロンＡ注射用３００　３００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 外来 (院内),5970.99967
2,2015,IFN_peg,peginterferon,ペグイントロン皮下注用１５０μｇ／０．５ｍＬ用　（溶解液付）,その他の生物学的製剤,,注射薬 外来 (院内),3625.628
2,2015,IFN_conv,interferon_conventional,スミフェロン注バイアル３００万ＩＵ　３００万国際単位,その他の生物学的製剤,,注射薬 外来 (院内),3317.0
2,2015,IFN_conv,interferon_conventional,フエロン注射用６００万　６００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 外来 (院内),2431.0
2,2015,IFN_conv,interferon_conventional,イントロンＡ注射用６００　６００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 外来 (院内),2090.0
2,2015,IFN_peg,peginterferon,ペガシス皮下注４５μｇ　０．５ｍＬ,その他の生物学的製剤,,注射薬 外来 (院内),0.0
2,2015,IFN_conv,interferon_conventional,フエロン注射用１００万　１００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 外来 (院内),0.0
2,2015,IFN_conv,interferon_conventional,イントロンＡ注射用１，０００　１，０００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 外来 (院内),0.0
2,2015,IFN_conv,interferon_conventional,スミフェロン注ＤＳ３００万ＩＵ　３００万国際単位,その他の生物学的製剤,,注射薬 外来 (院外),52201.0
2,2015,IFN_conv,interferon_conventional,スミフェロン注ＤＳ６００万ＩＵ　６００万国際単位,その他の生物学的製剤,,注射薬 外来 (院外),16612.0
2,2015,IFN_conv,interferon_conventional,イントロンＡ注射用３００　３００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 外来 (院外),2699.0
2,2015,IFN_conv,interferon_conventional,イントロンＡ注射用６００　６００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 外来 (院外),0.0
2,2015,IFN_conv,interferon_conventional,スミフェロン注バイアル３００万ＩＵ　３００万国際単位,その他の生物学的製剤,,注射薬 外来 (院外),0.0
2,2015,IFN_conv,interferon_conventional,イントロンＡ注射用１，０００　１，０００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 外来 (院外),0.0
2,2015,IFN_conv,interferon_conventional,フエロン注射用３００万　３００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 入院,16105.099
2,2015,IFN_conv,interferon_conventional,スミフェロン注ＤＳ３００万ＩＵ　３００万国際単位,その他の生物学的製剤,,注射薬 入院,5404.666
2,2015,IFN_conv,interferon_conventional,スミフェロン注ＤＳ６００万ＩＵ　６００万国際単位,その他の生物学的製剤,,注射薬 入院,1882.0
2,2015,IFN_peg,peginterferon,ペグイントロン皮下注用１００μｇ／０．５ｍＬ用　（溶解液付）,その他の生物学的製剤,,注射薬 入院,1034.1999999999998
2,2015,IFN_conv,interferon_conventional,フエロン注射用１００万　１００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 入院,0.0
2,2015,IFN_peg,peginterferon,ペガシス皮下注９０μｇ　１ｍＬ,その他の生物学的製剤,,注射薬 入院,0.0
2,2015,IFN_peg,peginterferon,ペガシス皮下注１８０μｇ　１ｍＬ,その他の生物学的製剤,,注射薬 入院,0.0
2,2015,IFN_conv,interferon_conventional,フエロン注射用６００万　６００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 入院,0.0
2,2015,IFN_conv,interferon_conventional,イントロンＡ注射用３００　３００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 入院,0.0
2,2015,IFN_conv,interferon_conventional,スミフェロン注バイアル３００万ＩＵ　３００万国際単位,その他の生物学的製剤,,注射薬 入院,0.0
2,2015,IFN_peg,peginterferon,ペグイントロン皮下注用１５０μｇ／０．５ｍＬ用　（溶解液付）,その他の生物学的製剤,,注射薬 入院,0.0
2,2015,IFN_peg,peginterferon,ペグイントロン皮下注用５０μｇ／０．５ｍＬ用　（溶解液付）,その他の生物学的製剤,,注射薬 入院,0.0
2,2015,IFN_conv,interferon_conventional,イントロンＡ注射用６００　６００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 入院,0.0
2,2015,IFN_conv,interferon_conventional,イントロンＡ注射用１，０００　１，０００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 入院,0.0
2,2015,IFN_peg,peginterferon,ペガシス皮下注４５μｇ　０．５ｍＬ,その他の生物学的製剤,,注射薬 入院,0.0
3,2016,ribavirin,ribavirin,レベトールカプセル２００ｍｇ,抗ウイルス剤,カプセル,内服薬 外来 (院外),2000216.0
3,2016,DAA,ledipasvir/sofosbuvir,ハーボニー配合錠,抗ウイルス剤,錠,内服薬 外来 (院外),1792288.0
3,2016,ribavirin,ribavirin,コペガス錠２００ｍｇ,抗ウイルス剤,錠,内服薬 外来 (院外),1404379.5
3,2016,DAA,sofosbuvir,ソバルディ錠４００ｍｇ,抗ウイルス剤,錠,内服薬 外来 (院外),986637.0
3,2016,DAA,ombitasvir/paritaprevir/ritonavir,ヴィキラックス配合錠,抗ウイルス剤,錠,内服薬 外来 (院外),808545.0
3,2016,DAA,asunaprevir,スンベプラカプセル１００ｍｇ,抗ウイルス剤,カプセル,内服薬 外来 (院外),492403.0
3,2016,DAA,daclatasvir,ダクルインザ錠６０ｍｇ,抗ウイルス剤,錠,内服薬 外来 (院外),251798.0
3,2016,DAA,grazoprevir,グラジナ錠５０ｍｇ,抗ウイルス剤,錠,内服薬 外来 (院外),157922.0
3,2016,DAA,elbasvir,エレルサ錠５０ｍｇ,抗ウイルス剤,錠,内服薬 外来 (院外),79137.0
3,2016,DAA,ledipasvir/sofosbuvir,ハーボニー配合錠,抗ウイルス剤,錠,内服薬 外来 (院内),887691.0
3,2016,ribavirin,ribavirin,レベトールカプセル２００ｍｇ,抗ウイルス剤,カプセル,内服薬 外来 (院内),800412.0
3,2016,ribavirin,ribavirin,コペガス錠２００ｍｇ,抗ウイルス剤,錠,内服薬 外来 (院内),563230.0
3,2016,DAA,sofosbuvir,ソバルディ錠４００ｍｇ,抗ウイルス剤,錠,内服薬 外来 (院内),407325.0
3,2016,DAA,ombitasvir/paritaprevir/ritonavir,ヴィキラックス配合錠,抗ウイルス剤,錠,内服薬 外来 (院内),399074.0
3,2016,DAA,asunaprevir,スンベプラカプセル１００ｍｇ,抗ウイルス剤,カプセル,内服薬 外来 (院内),136513.0
3,2016,DAA,grazoprevir,グラジナ錠５０ｍｇ,抗ウイルス剤,錠,内服薬 外来 (院内),99540.0
3,2016,DAA,daclatasvir,ダクルインザ錠６０ｍｇ,抗ウイルス剤,錠,内服薬 外来 (院内),69713.0
3,2016,DAA,elbasvir,エレルサ錠５０ｍｇ,抗ウイルス剤,錠,内服薬 外来 (院内),49985.0
3,2016,DAA,ledipasvir/sofosbuvir,ハーボニー配合錠,抗ウイルス剤,錠,内服薬 入院,68483.0
3,2016,ribavirin,ribavirin,レベトールカプセル２００ｍｇ,抗ウイルス剤,カプセル,内服薬 入院,59367.25
3,2016,DAA,ombitasvir/paritaprevir/ritonavir,ヴィキラックス配合錠,抗ウイルス剤,錠,内服薬 入院,33041.0
3,2016,DAA,sofosbuvir,ソバルディ錠４００ｍｇ,抗ウイルス剤,錠,内服薬 入院,29344.0
